Data and time, pollution PM10 [ug/m3]
2022-12-20,28.1,
2022-12-21,35.0,
2022-12-22,37.1,
2022-12-23,26.5,
2022-12-24,23.6,
2022-12-25,28.8,
2022-12-26,21.9,
2022-12-27,12.3,
2022-12-28,16.2,
2022-12-29,16.8,
2022-12-30,26.0,
2022-12-31,17.2,
